transaction_id,business_id,user_id,date,day_of_week,description,amount,type,category,balance_after_transaction
TXN03698,BIZ_005,U016,2025-09-01,Monday,maal kharida,18900,expense,raw_material,158099
TXN06804,BIZ_008,U028,2025-09-01,Monday,Instagram promotion,4170,expense,marketing,114608
TXN03697,BIZ_005,U016,2025-09-01,Monday,salary,52900,income,salary,176999
TXN03699,BIZ_005,U016,2025-09-01,Monday,health,510,expense,healthcare,157589
TXN08829,BIZ_010,U038,2025-09-01,Monday,gas connection recharge,985,expense,utilities,111964
TXN00847,BIZ_002,U005,2025-09-01,Monday,ola,845,expense,transport,81030
TXN08830,BIZ_010,U038,2025-09-01,Monday,SEO service payment,4660,expense,marketing,107304
TXN03696,BIZ_005,U017,2025-09-01,Monday,pharmcy,730,expense,healthcare,124099
TXN04411,BIZ_006,U018,2025-09-02,Tuesday,Instagram promotion,775,expense,marketing,52677
TXN02878,BIZ_004,U015,2025-09-02,Tuesday,supplier ko diya,3110,expense,raw_material,103975
TXN05530,BIZ_007,U022,2025-09-03,Wednesday,Employee wages,47000,income,salary,73431
TXN05529,BIZ_007,U024,2025-09-03,Wednesday,cleared outstanding vendor dues,42600,expense,raw_material,26431
TXN01794,BIZ_003,U009,2025-09-03,Wednesday,padhai ke liye kharcha,470,expense,education,105395
TXN05528,BIZ_007,U026,2025-09-03,Wednesday,petty cash for small purchases,235,expense,misc,69031
TXN03700,BIZ_005,U017,2025-09-03,Wednesday,dawai li,180,expense,healthcare,157409
TXN01795,BIZ_003,U011,2025-09-03,Wednesday,Website development payment,16100,income,salary,121495
TXN00848,BIZ_002,U004,2025-09-04,Thursday,payment received,35200,income,salary,116230
TXN10721,BIZ_012,U045,2025-09-04,Thursday,hotel,2290,expense,travel,139688
TXN04412,BIZ_006,U021,2025-09-04,Thursday,Fiverr earnings,35000,income,salary,87677
TXN10720,BIZ_012,U043,2025-09-04,Thursday,fruits and vegetables from local vendor,700,expense,food,141978
TXN00001,BIZ_001,U001,2025-09-04,Thursday,salary diya staff ko,25700,income,salary,81313
TXN00002,BIZ_001,U003,2025-09-04,Thursday,Swiggy dinner order,175,expense,food,81138
TXN09556,BIZ_011,U039,2025-09-04,Thursday,Medicine purchase,575,expense,healthcare,94555
TXN08831,BIZ_010,U037,2025-09-04,Thursday,Online certification,950,expense,education,106354
TXN07588,BIZ_009,U035,2025-09-05,Friday,payroll,33300,income,salary,154359
TXN00003,BIZ_001,U003,2025-09-05,Friday,electricity,2050,expense,utilities,79088
TXN09557,BIZ_011,U039,2025-09-05,Friday,gas connection recharge,1080,expense,utilities,93475
TXN03702,BIZ_005,U017,2025-09-05,Friday,payment aayi client se,46500,income,salary,162209
TXN03701,BIZ_005,U016,2025-09-05,Friday,Wholesale goods bought,41700,expense,raw_material,115709
TXN05531,BIZ_007,U027,2025-09-05,Friday,wifi router plan renewed,1960,expense,utilities,71471
TXN00849,BIZ_002,U005,2025-09-05,Friday,boosted posts on social media,1630,expense,marketing,114600
TXN07587,BIZ_009,U031,2025-09-05,Friday,Subway lunch,400,expense,food,121059
TXN07589,BIZ_009,U035,2025-09-06,Saturday,Swiggy dinner order,785,expense,food,153574
TXN02879,BIZ_004,U013,2025-09-06,Saturday,Monthly retainer received,44700,income,salary,148675
TXN06805,BIZ_008,U030,2025-09-06,Saturday,snacks,330,expense,food,114278
TXN04413,BIZ_006,U018,2025-09-06,Saturday,dukaan ka kiraya,25500,expense,rent,62177
TXN00005,BIZ_001,U001,2025-09-07,Sunday,team lunch after meeting,1530,expense,food,76998
TXN00850,BIZ_002,U005,2025-09-07,Sunday,paid for digital marketing,1900,expense,marketing,112700
TXN00004,BIZ_001,U002,2025-09-07,Sunday,grabbed a bite near office,560,expense,food,78528
TXN08832,BIZ_010,U036,2025-09-07,Sunday,SEO service payment,675,expense,marketing,105679
TXN09558,BIZ_011,U040,2025-09-07,Sunday,gym fees for the month,420,expense,healthcare,93055
TXN01796,BIZ_003,U012,2025-09-07,Sunday,hotel,14000,expense,travel,107495
TXN10722,BIZ_012,U043,2025-09-08,Monday,OYO hotel booking,1310,expense,travel,138378
TXN08833,BIZ_010,U036,2025-09-08,Monday,Books from Amazon,1330,expense,education,104349
TXN07590,BIZ_009,U035,2025-09-08,Monday,payment received,22700,income,salary,176274
TXN09560,BIZ_011,U041,2025-09-09,Tuesday,routine health checkup,580,expense,healthcare,52675
TXN09559,BIZ_011,U040,2025-09-09,Tuesday,restocked inventory for next month,39800,expense,raw_material,53255
TXN00851,BIZ_002,U005,2025-09-09,Tuesday,repair,205,expense,misc,112495
TXN01797,BIZ_003,U011,2025-09-09,Tuesday,new equipment from online store,1550,expense,shopping,105945
TXN04414,BIZ_006,U019,2025-09-10,Wednesday,Society maintenance,1540,expense,utilities,60637
TXN03703,BIZ_005,U017,2025-09-10,Wednesday,Generator diesel,2120,expense,utilities,160089
TXN01802,BIZ_003,U009,2025-09-10,Wednesday,courier for sending documents,1500,expense,misc,130436
TXN01803,BIZ_003,U012,2025-09-10,Wednesday,Meesho order,1220,expense,shopping,129216
TXN01801,BIZ_003,U012,2025-09-10,Wednesday,Payment from ABC Corp,31400,income,salary,131936
TXN01800,BIZ_003,U008,2025-09-10,Wednesday,light bill diya,3150,expense,utilities,100536
TXN01799,BIZ_003,U012,2025-09-10,Wednesday,GitHub Pro,2160,expense,subscriptions,103686
TXN01798,BIZ_003,U009,2025-09-10,Wednesday,Canva Pro,99,expense,subscriptions,105846
TXN08834,BIZ_010,U037,2025-09-10,Wednesday,Fiverr earnings,10800,income,salary,115149
TXN01804,BIZ_003,U008,2025-09-10,Wednesday,groceries,280,expense,food,128936
TXN04415,BIZ_006,U021,2025-09-11,Thursday,Monthly retainer received,38400,income,salary,99037
TXN08835,BIZ_010,U037,2025-09-11,Thursday,Society maintenance,1120,expense,utilities,114029
TXN04416,BIZ_006,U021,2025-09-11,Thursday,saas subscription,1150,expense,subscriptions,97887
TXN05532,BIZ_007,U023,2025-09-11,Thursday,Invoice #1023 credited,29500,income,salary,100971
TXN02880,BIZ_004,U014,2025-09-11,Thursday,Banner printing,1790,expense,marketing,146885
TXN00006,BIZ_001,U001,2025-09-11,Thursday,cleared utility dues,2070,expense,utilities,74928
TXN02881,BIZ_004,U013,2025-09-11,Thursday,snacks,705,expense,food,146180
TXN00852,BIZ_002,U007,2025-09-11,Thursday,office rent,16300,expense,rent,96195
TXN05533,BIZ_007,U027,2025-09-11,Thursday,Miscellaneous expense,530,expense,misc,100441
TXN10724,BIZ_012,U044,2025-09-11,Thursday,bank fees for the month,295,expense,misc,135513
TXN10723,BIZ_012,U043,2025-09-11,Thursday,Notion team,2570,expense,subscriptions,135808
TXN06806,BIZ_008,U029,2025-09-12,Friday,Metro card recharge,195,expense,transport,114083
TXN03707,BIZ_005,U017,2025-09-12,Friday,hospital gaye,1280,expense,healthcare,127769
TXN03706,BIZ_005,U017,2025-09-12,Friday,Monthly office space,23900,expense,rent,129049
TXN03704,BIZ_005,U017,2025-09-12,Friday,Packaging material,6120,expense,raw_material,153969
TXN09562,BIZ_011,U039,2025-09-12,Friday,Design project paid,8000,income,salary,40475
TXN10725,BIZ_012,U044,2025-09-12,Friday,trip ke liye booking,6970,expense,travel,128543
TXN10726,BIZ_012,U043,2025-09-12,Friday,netflx subscription,320,expense,entertainment,128223
TXN00007,BIZ_001,U002,2025-09-12,Friday,Project milestone payment,18400,income,salary,93328
TXN03705,BIZ_005,U017,2025-09-12,Friday,DMart monthly grocery,1020,expense,food,152949
TXN09561,BIZ_011,U041,2025-09-12,Friday,cleared rent dues,20200,expense,rent,32475
TXN02882,BIZ_004,U014,2025-09-13,Saturday,Airtel postpaid,1480,expense,utilities,144700
TXN01805,BIZ_003,U012,2025-09-13,Saturday,Invoice #1023 credited,44200,income,salary,173136
TXN01806,BIZ_003,U008,2025-09-13,Saturday,tax,265,expense,misc,172871
TXN07591,BIZ_009,U032,2025-09-13,Saturday,monthly internet at office,1450,expense,utilities,174824
TXN09563,BIZ_011,U041,2025-09-13,Saturday,pharmcy,2950,expense,healthcare,37525
TXN04417,BIZ_006,U018,2025-09-13,Saturday,paid for skill upgrade training,1580,expense,education,96307
TXN06807,BIZ_008,U029,2025-09-14,Sunday,shopping ki,1560,expense,shopping,112523
TXN00854,BIZ_002,U006,2025-09-14,Sunday,ola,290,expense,transport,94235
TXN05534,BIZ_007,U025,2025-09-14,Sunday,Part time worker salary,8000,income,salary,108441
TXN00008,BIZ_001,U003,2025-09-14,Sunday,restocked inventory for next month,2000,expense,raw_material,91328
TXN00853,BIZ_002,U006,2025-09-14,Sunday,software plan,1670,expense,subscriptions,94525
TXN00009,BIZ_001,U003,2025-09-14,Sunday,gas connection recharge,2350,expense,utilities,88978
TXN07592,BIZ_009,U031,2025-09-15,Monday,Supplier payment,36900,expense,raw_material,137924
TXN00855,BIZ_002,U007,2025-09-15,Monday,Google Ads campaign,1670,expense,marketing,92565
TXN04419,BIZ_006,U021,2025-09-15,Monday,water bill,820,expense,utilities,170787
TXN08837,BIZ_010,U036,2025-09-15,Monday,kaam ka paisa mila,35300,income,salary,147349
TXN00856,BIZ_002,U007,2025-09-15,Monday,courier for sending documents,50,expense,misc,92515
TXN04420,BIZ_006,U019,2025-09-15,Monday,workshop,955,expense,education,169832
TXN02883,BIZ_004,U015,2025-09-15,Monday,Mobile accessories,475,expense,shopping,144225
TXN07595,BIZ_009,U032,2025-09-15,Monday,kaam ka paisa mila,77900,income,salary,210659
TXN07594,BIZ_009,U033,2025-09-15,Monday,Monthly office space,4820,expense,rent,132759
TXN07593,BIZ_009,U033,2025-09-15,Monday,petrol bharwaya,345,expense,transport,137579
TXN08836,BIZ_010,U036,2025-09-15,Monday,Google Workspace,1980,expense,subscriptions,112049
TXN04418,BIZ_006,U020,2025-09-15,Monday,Client project payment received,75300,income,salary,171607
TXN09564,BIZ_011,U039,2025-09-16,Tuesday,petrol refill at petorl pump,92,expense,transport,37433
TXN04422,BIZ_006,U018,2025-09-16,Tuesday,monthly rent for the shop,17400,expense,rent,150292
TXN04421,BIZ_006,U020,2025-09-16,Tuesday,Facebook Ads payment,2140,expense,marketing,167692
TXN04423,BIZ_006,U019,2025-09-17,Wednesday,Library subscription,1320,expense,education,148972
TXN03708,BIZ_005,U016,2025-09-17,Wednesday,material,52200,expense,raw_material,75569
TXN06808,BIZ_008,U030,2025-09-17,Wednesday,Monthly payroll,25300,income,salary,137823
TXN07596,BIZ_009,U032,2025-09-17,Wednesday,vendor,49200,expense,raw_material,161459
