transaction_id,business_id,date,description,amount,category,type,z_score,is_anomaly
TXN03698,BIZ_005,2025-09-01,maal kharida,18900,raw_material,expense,0.498,0
TXN06804,BIZ_008,2025-09-01,Instagram promotion,4170,marketing,expense,0.741,0
TXN03697,BIZ_005,2025-09-01,salary,52900,salary,income,0.863,0
TXN03699,BIZ_005,2025-09-01,health,510,healthcare,expense,0.428,0
TXN08829,BIZ_010,2025-09-01,gas connection recharge,985,utilities,expense,0.955,0
TXN00847,BIZ_002,2025-09-01,ola,845,transport,expense,2.169,0
TXN08830,BIZ_010,2025-09-01,SEO service payment,4660,marketing,expense,0.959,0
TXN03696,BIZ_005,2025-09-01,pharmcy,730,healthcare,expense,0.176,0
TXN04411,BIZ_006,2025-09-02,Instagram promotion,775,marketing,expense,0.767,0
TXN02878,BIZ_004,2025-09-02,supplier ko diya,3110,raw_material,expense,1.615,0
TXN05530,BIZ_007,2025-09-03,Employee wages,47000,salary,income,0.552,0
TXN05529,BIZ_007,2025-09-03,cleared outstanding vendor dues,42600,raw_material,expense,1.178,0
TXN01794,BIZ_003,2025-09-03,padhai ke liye kharcha,470,education,expense,0.977,0
TXN05528,BIZ_007,2025-09-03,petty cash for small purchases,235,misc,expense,0.482,0
TXN03700,BIZ_005,2025-09-03,dawai li,830,healthcare,expense,3.359,1
TXN01795,BIZ_003,2025-09-03,Website development payment,16100,salary,income,1.079,0
TXN00848,BIZ_002,2025-09-04,payment received,35200,salary,income,0.071,0
TXN10721,BIZ_012,2025-09-04,hotel,2290,travel,expense,0.504,0
TXN04412,BIZ_006,2025-09-04,Fiverr earnings,35000,salary,income,0.082,0
TXN10720,BIZ_012,2025-09-04,fruits and vegetables from local vendor,700,food,expense,0.227,0
TXN00001,BIZ_001,2025-09-04,salary diya staff ko,25700,salary,income,0.573,0
TXN00002,BIZ_001,2025-09-04,Swiggy dinner order,175,food,expense,0.901,0
TXN09556,BIZ_011,2025-09-04,Medicine purchase,575,healthcare,expense,0.353,0
TXN08831,BIZ_010,2025-09-04,Online certification,950,education,expense,0.455,0
TXN07588,BIZ_009,2025-09-05,payroll,33300,salary,income,0.171,0
TXN00003,BIZ_001,2025-09-05,electricity,2050,utilities,expense,0.247,0
TXN09557,BIZ_011,2025-09-05,gas connection recharge,1080,utilities,expense,0.848,0
TXN03702,BIZ_005,2025-09-05,payment aayi client se,46500,salary,income,0.525,0
TXN03701,BIZ_005,2025-09-05,Wholesale goods bought,41700,raw_material,expense,1.115,0
TXN05531,BIZ_007,2025-09-05,wifi router plan renewed,1960,utilities,expense,0.146,0
TXN00849,BIZ_002,2025-09-05,boosted posts on social media,1630,marketing,expense,0.387,0
TXN07587,BIZ_009,2025-09-05,Subway lunch,400,food,expense,0.418,0
TXN07589,BIZ_009,2025-09-06,Swiggy dinner order,785,food,expense,0.409,0
TXN02879,BIZ_004,2025-09-06,Monthly retainer received,44700,salary,income,0.43,0
TXN06805,BIZ_008,2025-09-06,snacks,330,food,expense,0.568,0
TXN04413,BIZ_006,2025-09-06,dukaan ka kiraya,25500,rent,expense,0.956,0
TXN00005,BIZ_001,2025-09-07,team lunch after meeting,1530,food,expense,2.009,0
TXN00850,BIZ_002,2025-09-07,paid for digital marketing,1900,marketing,expense,0.267,0
TXN00004,BIZ_001,2025-09-07,grabbed a bite near office,560,food,expense,0.074,0
TXN08832,BIZ_010,2025-09-07,SEO service payment,675,marketing,expense,0.812,0
TXN09558,BIZ_011,2025-09-07,gym fees for the month,420,healthcare,expense,0.531,0
TXN01796,BIZ_003,2025-09-07,hotel,14000,travel,expense,1.91,0
TXN10722,BIZ_012,2025-09-08,OYO hotel booking,1310,travel,expense,0.707,0
TXN08833,BIZ_010,2025-09-08,Books from Amazon,1330,education,expense,0.041,0
TXN07590,BIZ_009,2025-09-08,payment received,22700,salary,income,0.731,0
TXN09560,BIZ_011,2025-09-09,routine health checkup,580,healthcare,expense,0.348,0
TXN09559,BIZ_011,2025-09-09,restocked inventory for next month,39800,raw_material,expense,0.98,0
TXN00851,BIZ_002,2025-09-09,repair,205,misc,expense,0.537,0
TXN01797,BIZ_003,2025-09-09,new equipment from online store,1550,shopping,expense,0.061,0
TXN04414,BIZ_006,2025-09-10,Society maintenance,1540,utilities,expense,0.328,0
TXN03703,BIZ_005,2025-09-10,Generator diesel,2120,utilities,expense,0.326,0
TXN01802,BIZ_003,2025-09-10,courier for sending documents,1500,misc,expense,1.867,0
TXN01803,BIZ_003,2025-09-10,Meesho order,1220,shopping,expense,0.212,0
TXN01801,BIZ_003,2025-09-10,Payment from ABC Corp,31400,salary,income,0.272,0
TXN01800,BIZ_003,2025-09-10,light bill diya,3150,utilities,expense,1.489,0
TXN01799,BIZ_003,2025-09-10,GitHub Pro,2160,subscriptions,expense,0.418,0
TXN01798,BIZ_003,2025-09-10,Canva Pro,99,subscriptions,expense,1.376,0
TXN08834,BIZ_010,2025-09-10,Fiverr earnings,10800,salary,income,1.359,0
TXN01804,BIZ_003,2025-09-10,groceries,280,food,expense,0.675,0
TXN04415,BIZ_006,2025-09-11,Monthly retainer received,38400,salary,income,0.098,0
TXN08835,BIZ_010,2025-09-11,Society maintenance,1120,utilities,expense,0.803,0
TXN04416,BIZ_006,2025-09-11,saas subscription,1150,subscriptions,expense,0.461,0
TXN05532,BIZ_007,2025-09-11,Invoice #1023 credited,29500,salary,income,0.372,0
TXN02880,BIZ_004,2025-09-11,Banner printing,1790,marketing,expense,0.316,0
TXN00006,BIZ_001,2025-09-11,cleared utility dues,2070,utilities,expense,0.27,0
TXN02881,BIZ_004,2025-09-11,snacks,705,food,expense,0.237,0
TXN00852,BIZ_002,2025-09-11,office rent,16300,rent,expense,0.233,0
TXN05533,BIZ_007,2025-09-11,Miscellaneous expense,530,misc,expense,0.066,0
TXN10724,BIZ_012,2025-09-11,bank fees for the month,295,misc,expense,0.37,0
TXN10723,BIZ_012,2025-09-11,Notion team,2570,subscriptions,expense,0.774,0
TXN06806,BIZ_008,2025-09-12,Metro card recharge,195,transport,expense,0.442,0
TXN03707,BIZ_005,2025-09-12,hospital gaye,1280,healthcare,expense,0.452,0
TXN03706,BIZ_005,2025-09-12,Monthly office space,23900,rent,expense,0.749,0
TXN03704,BIZ_005,2025-09-12,Packaging material,6120,raw_material,expense,1.402,0
TXN09562,BIZ_011,2025-09-12,Design project paid,8000,salary,income,1.507,0
TXN10725,BIZ_012,2025-09-12,trip ke liye booking,6970,travel,expense,0.461,0
TXN10726,BIZ_012,2025-09-12,netflx subscription,320,entertainment,expense,0.702,0
TXN00007,BIZ_001,2025-09-12,Project milestone payment,18400,salary,income,0.958,0
TXN03705,BIZ_005,2025-09-12,DMart monthly grocery,1020,food,expense,0.914,0
TXN09561,BIZ_011,2025-09-12,cleared rent dues,20200,rent,expense,0.271,0
TXN02882,BIZ_004,2025-09-13,Airtel postpaid,1480,utilities,expense,0.396,0
TXN01805,BIZ_003,2025-09-13,Invoice #1023 credited,44200,salary,income,0.404,0
TXN01806,BIZ_003,2025-09-13,tax,265,misc,expense,0.426,0
TXN07591,BIZ_009,2025-09-13,monthly internet at office,1450,utilities,expense,0.43,0
TXN09563,BIZ_011,2025-09-13,pharmcy,2950,healthcare,expense,2.361,0
TXN04417,BIZ_006,2025-09-13,paid for skill upgrade training,1580,education,expense,0.231,0
TXN06807,BIZ_008,2025-09-14,shopping ki,1560,shopping,expense,0.056,0
TXN00854,BIZ_002,2025-09-14,ola,290,transport,expense,0.061,0
TXN05534,BIZ_007,2025-09-14,Part time worker salary,8000,salary,income,1.507,0
TXN00008,BIZ_001,2025-09-14,restocked inventory for next month,2000,raw_material,expense,1.694,0
TXN00853,BIZ_002,2025-09-14,software plan,1670,subscriptions,expense,0.009,0
TXN00009,BIZ_001,2025-09-14,gas connection recharge,2350,utilities,expense,0.586,0
TXN07592,BIZ_009,2025-09-15,Supplier payment,36900,raw_material,expense,0.775,0
TXN00855,BIZ_002,2025-09-15,Google Ads campaign,1670,marketing,expense,0.37,0
TXN04419,BIZ_006,2025-09-15,water bill,820,utilities,expense,1.141,0
TXN08837,BIZ_010,2025-09-15,kaam ka paisa mila,35300,salary,income,0.066,0
