description,category
BEST bus pass today,transport
Educational software today,education
Notion team done done cleared,subscriptions
weekly vegetable haul done today,food
water bill done cleared,utilities
Nykaa products,shopping
annual ad budget utilized cleared,marketing
training today this month today this month,education
covid test before travel today,healthcare
cleared rent dues done today done,rent
saman kharida done this month done,shopping
Amazon office supplies,shopping
Toll plaza charge done cleared,transport
MakeMyTrip package today this month,travel
BSES electricity bill this month cleared this month done,utilities
annual maintenance of AC this month today done this month cleared today,utilities
employee medical allowance this month done done,healthcare
Big Basket groceries today done done cleared cleared done,food
Parking fee this month done today,transport
Consultant fee paid cleared today,salary
paid for skill upgrade training done,education
kaam ka paisa mila cleared this month today this month today cleared,salary
tech accessories restocked cleared,shopping
chai aur nashta today,food
physio session after injury this month this month,healthcare
first of the month kiraya sorted this month,rent
Training workshop fee done today today today,education
Staples stationery,shopping
trade fair attendance today this month this month today,travel
Office chair Amazon cleared,shopping
Train ticket Mumbai this month cleared cleared cleared done,transport
new sim card for office staff,utilities
office drop arranged today,transport
team attended a webinar today cleared this month cleared today,education
flight today today done,travel
Piped gas bill MGNGL done today today,utilities
evening snacks for the office today this month today this month,food
App project payment this month today done this month,salary
repair today this month this month today,misc
Courier charges done this month done,misc
annual maintenance of AC this month today done cleared cleared this month this month,utilities
Consultant fee paid cleared today done done cleared cleared,salary
Subway lunch,food
trip ke liye booking,travel
travell expense this month done,transport
Supplier payment today today,raw_material
monthly SaaS charges done cleared today,subscriptions
covid test before travel today done,healthcare
paid the team for this month done cleared this month,salary
Educational software cleared today,education
interstate business visit this month this month done this month today,travel
incentive payment processed cleared this month cleared cleared today,salary
Nykaa products this month today today this month,shopping
promotion cleared cleared,marketing
Office chair Amazon cleared this month this month,shopping
office ka khana done done today cleared,food
workshop done this month cleared,education
Flight ticket Delhi,transport
chai cleared cleared cleared,food
Flight ticket Bangalore cleared today cleared,travel
cleared rent dues cleared today,rent
dinner done this month this month this month,food
vendor cleared today today,raw_material
Dropbox business done today done this month done,subscriptions
payroll,salary
bhojan ke liye diya today,food
employee medical allowance this month done done this month,healthcare
maintanence charge this month done,utilities
bus this month,transport
misc cleared this month cleared,misc
uber done,transport
Google Workspace,subscriptions
Courier charges,misc
cloud storage renewal,subscriptions
medicne purchase today,healthcare
movie this month today this month,entertainment
Coursera subscription done cleared,education
turned on AC so bill was high done today,utilities
yaar ke saath bahar khaya this month cleared cleared this month today today,food
bulk order for the busy season this month this month,raw_material
repiar cost cleared done this month cleared,misc
bought books for office library done done cleared,education
padhai ke liye kharcha this month today today today,education
Canva Pro this month today done,subscriptions
saman kharida done done today cleared,shopping
Petrol refill at HP done,transport
Dropbox business this month,subscriptions
amazon this month today,shopping
software plan done this month,subscriptions
team attended a webinar this month cleared this month,education
tax this month done,misc
saman kharida cleared,shopping
Travel insurance,travel
BSES electricity bill this month this month cleared,utilities
vendor cleared,raw_material
breakfast this month today done,food
entertanment cleared today cleared this month,entertainment
fuel for delivery van today this month this month cleared today,transport
weekly vegetable haul,food
water bill,utilities
Diagnostic lab test cleared,healthcare
Contract staff wages cleared,salary
return flight booked today this month,transport
sourced from new vendor this time done this month done this month cleared done,raw_material
Train ticket Mumbai cleared,transport
ghar ka ration,food
Amazon office supplies cleared cleared,shopping
Zepto veggies cleared done done cleared,food
office mein sabke liye order kiya this month done cleared this month cleared today cleared,food
Uber cab to airport this month cleared this month cleared,transport
paid for the warehouse space this month done,rent
hotel done,travel
covid test before travel cleared today,healthcare
GST payment cleared,misc
restocked inventory for next month today this month done,raw_material
office parking space rent today today,rent
hotel for conference stay cleared done cleared,travel
went out with client for dinner cleared today,food
Consulting fee received,salary
kaam ka paisa mila this month,salary
Nykaa products this month today today,shopping
MakeMyTrip package today today today,travel
security system monthly charge cleared done today cleared today,utilities
Tata Power monthly bill,utilities
training today this month today today,education
covid test before travel today done done,healthcare
received outstanding from old project this month this month this month,salary
Restaurant dinner today cleared,food
evening mein chai pi office mein today done,food
electricty bill cleared this month,utilities
lead generation campaign today,marketing
Co-working space fee this month done this month cleared,rent
chai done done,food
water bill done cleared this month,utilities
team dinner and bowling after sprint today done cleared,entertainment
lunch this month this month done done,food
sourced from new vendor this time done this month done this month today,raw_material
Coursera subscription today this month done today,education
snacks today done,food
printing karwaya,misc
Eye checkup today done this month,healthcare
upskilling budget used this month cleared today today,education
bulk buy before the rate hike done this month done,shopping
Meesho order this month cleared,shopping
wifi router plan renewed cleared this month cleared cleared cleared done,utilities
paid the light bill online today this month done,utilities
cleared 2 months pending bill done done done,utilities
tax cleared done this month,misc
Design project paid this month,salary
Zepto veggies cleared cleared today,food
repair this month this month,misc
flight today today done done cleared,travel
cleared outstanding vendor dues today cleared done done,raw_material
brought food for the whole floor today this month,food
course done today,education
supplier ko diya,raw_material
Notion team this month done,subscriptions
lunch this month done this month,food
Client project payment received this month today today,salary
AWS monthly bill,subscriptions
Dropbox business done today done this month,subscriptions
saman kharida this month cleared,shopping
bijli ka bill this month,utilities
Printer cartridge cleared today cleared,shopping
Restaurant dinner,food
PVR movie tickets this month cleared done today,entertainment
